questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,isTest,isDev,,,,,,
85817,2,1,B,1,0,NYSEDREGENTS,4,2008,Which property of an object is identified using the sense of smell? (A) color (B) odor (C) temperature (D) weight,Biology,1,1,,,,,,
85818,3,1,D,1,0,NYSEDREGENTS,4,2008,Which type of energy is needed to cut a piece of wood into smaller pieces with a saw? (A) light (B) heat (C) sound (D) mechanical,Biology,1,0,,,,,,
85819,4,1,A,1,0,NYSEDREGENTS,4,2008,Which material is the best conductor of electricity? (A) metal (B) glass (C) wood (D) plastic,Biology,1,0,,,,,,
85820,5,1,B,1,0,NYSEDREGENTS,4,2008,What force causes objects to be pulled toward Earth? (A) friction (B) gravity (C) light (D) electricity,Biology,1,0,,,,,,
85821,6,1,B,1,0,NYSEDREGENTS,4,2008,"When a rock is placed in a graduated cylinder containing water, the height of the water will (A) decrease (B) increase (C) remain the same",Biology,1,1,,,,,,
85822,7,1,D,1,0,NYSEDREGENTS,4,2008,Which energy transformation occurs when a person hits a drum with a drumstick? (A) electrical to light (B) sound to electrical (C) light to mechanical (D) mechanical to sound,Biology,1,0,,,,,,
85823,8,1,A,1,0,NYSEDREGENTS,4,2008,A magnet and a metal paper clip have the strongest magnetic attraction when the distance between them is (A) 4 centimeters (B) 8 centimeters (C) 12 centimeters (D) 16 centimeters,Biology,1,1,,,,,,
85825,10,1,A,1,0,NYSEDREGENTS,4,2008,A student rubs her hands together on a cold winter day. The heat that warms her hands is produced by (A) friction (B) gravity (C) light (D) magnetism,Biology,1,1,,,,,,
85826,11,1,C,1,0,NYSEDREGENTS,4,2008,Which property of a rubber band will stay the same when it is stretched? (A) shape (B) length (C) mass (D) width,Biology,1,0,,,,,,
85827,12,1,C,1,0,NYSEDREGENTS,4,2008,"Precipitation is most likely to occur when the sky (A) is clear and sunny (B) is partly sunny (C) has thick, dark clouds (D) has white, puffy clouds",Biology,1,1,,,,,,
85830,15,1,C,1,0,NYSEDREGENTS,4,2008,In which state of matter does water have a definite shape and volume? (A) gas (B) liquid (C) solid,Biology,1,1,,,,,,
85832,17,1,D,1,0,NYSEDREGENTS,4,2008,"In order to survive, all animals need (A) heat, water, and soil (B) sunlight, soil, and heat (C) sunlight, air, and food (D) food, water, and air",Biology,1,0,,,,,,
85833,18,1,A,1,0,NYSEDREGENTS,4,2008,Which part of a plant takes in water and nutrients from the soil? (A) root (B) stem (C) flower (D) leaf,Biology,1,0,,,,,,
85835,20,1,B,1,0,NYSEDREGENTS,4,2008,Which physical change would most likely help an animal survive during the winter? (A) tail gets longer (B) fur gets thicker (C) feathers are shed (D) whiskers get shorter,Biology,1,0,,,,,,
85836,21,1,C,1,0,NYSEDREGENTS,4,2008,The leaves of a tree change color in the fall. This is an example of a tree (A) completing its life cycle (B) preparing for migration (C) responding to its environment (D) beginning hibernation,Biology,1,1,,,,,,
85838,23,1,C,1,0,NYSEDREGENTS,4,2008,One role of a producer in a food chain is to provide (A) water for plants (B) sunlight for plants (C) nutrients for animals (D) shelter for animals,Biology,1,1,,,,,,
85839,24,1,D,1,0,NYSEDREGENTS,4,2008,Which sequence shows the life cycle of some insects? (A) adult -> pupa -> larva -> egg (B) egg -> pupa -> larva -> adult (C) larva -> pupa -> egg -> adult (D) egg -> larva -> pupa -> adult,Biology,1,0,,,,,,
85840,25,1,C,1,0,NYSEDREGENTS,4,2008,What is the major source of energy for food chains? (A) water (B) air (C) sunlight (D) grass,Biology,1,1,,,,,,
85841,26,1,C,1,0,NYSEDREGENTS,4,2008,Which statement is an example of how humans have changed the natural environment? (A) Wind and rain destroy wheat plants. (B) The Sun's energy helps a wheat plant grow. (C) A forest is cleared to make space to plant wheat. (D) A wheat plant's seeds are scattered by the wind.,Biology,1,0,,,,,,
85842,27,1,A,1,0,NYSEDREGENTS,4,2008,Some birds fly south in the fall and return in the spring. This is an example of (A) migration (B) camouflage (C) hibernation (D) growth,Biology,1,0,,,,,,
85843,28,1,C,1,0,NYSEDREGENTS,4,2008,Which statement is an example of an inherited trait in a living thing? (A) A child learns to ride a bicycle. (B) A cat has a kitten with a broken leg. (C) A white dog has a puppy with white fur. (D) A person has a scar from a burn.,Biology,1,1,,,,,,
85611,1,1,B,1,0,NYSEDREGENTS,4,2010,Which property of an object allows it to bend? (A) color (B) flexibility (C) mass (D) size,Biology,1,1,,,,,,
85612,2,1,B,1,0,NYSEDREGENTS,4,2010,A ball is thrown up into the air. Which force causes the ball to fall to the ground? (A) friction (B) gravity (C) magnetism (D) electricity,Biology,1,1,,,,,,
85613,3,1,D,1,0,NYSEDREGENTS,4,2010,Which form of energy is produced when a guitar string vibrates? (A) chemical (B) light (C) magnetic (D) sound,Biology,1,1,,,,,,
85614,4,1,A,1,0,NYSEDREGENTS,4,2010,"A toy truck rolls over a smooth surface. If the surface is covered with sand, the truck will most likely roll (A) slower (B) faster (C) at the same speed",Biology,1,1,,,,,,
85617,7,1,A,1,0,NYSEDREGENTS,4,2010,A student rubs his hands together to warm them. His hands get warm due to (A) friction (B) gravity (C) magnetism (D) sound,Biology,1,1,,,,,,
85618,8,1,C,1,0,NYSEDREGENTS,4,2010,The Sun is classified as (A) an organism (B) a decomposer (C) a star (D) a planet,Biology,1,0,,,,,,
85619,9,1,D,1,0,NYSEDREGENTS,4,2010,About how long does it take for Earth to make one revolution around the Sun? (A) one day (B) one week (C) one month (D) one year,Biology,1,0,,,,,,
85620,10,1,C,1,0,NYSEDREGENTS,4,2010,"When a lightbulb is lit, electrical energy is changed into light energy and (A) chemical energy (B) magnetic energy (C) heat energy (D) mechanical energy",Biology,1,1,,,,,,
85621,11,1,C,1,0,NYSEDREGENTS,4,2010,Which tool would be most useful for observing the details of an insect's wings? (A) thermometer (B) balance (C) hand lens (D) graduated cylinder,Biology,1,1,,,,,,
85625,15,1,A,1,0,NYSEDREGENTS,4,2010,"As the distance between a magnet and a metal paper clip increases, the force of attraction between them (A) decreases (B) increases (C) remains the same",Biology,1,0,,,,,,
85626,16,1,C,1,0,NYSEDREGENTS,4,2010,Which behavior will best help a student stay healthy? (A) watching television five hours a day (B) sleeping three hours each night (C) eating fruits and vegetables each day (D) exercising once a month,Biology,1,1,,,,,,
85627,17,1,A,1,0,NYSEDREGENTS,4,2010,Which two life processes occur in both plants and humans? (A) growing and reproducing (B) germinating and making food (C) growing and making food (D) germinating and reproducing,Biology,1,1,,,,,,
85628,18,1,B,1,0,NYSEDREGENTS,4,2010,A student places soil in a plastic container to make a home for some worms. The student cuts holes in the top of the container because the worms need (A) space to move (B) air to breathe (C) sunlight to grow (D) sound to communicate,Biology,1,1,,,,,,
85629,19,1,B,1,0,NYSEDREGENTS,4,2010,"As children grow, their body height usually (A) decreases (B) increases (C) remains the same",Biology,1,1,,,,,,
85630,20,1,D,1,0,NYSEDREGENTS,4,2010,Which human response is most likely to occur because the air temperature is 90°F? (A) blinking (B) salivating (C) shivering (D) sweating,Biology,1,1,,,,,,
85631,21,1,A,1,0,NYSEDREGENTS,4,2010,Plants are producers because they (A) make their own food (B) can grow in soil (C) need water to grow (D) take in nutrients,Biology,1,1,,,,,,
85632,22,1,B,1,0,NYSEDREGENTS,4,2010,Why do some animals hibernate in the winter? (A) to find food for their young (B) to adapt to environmental changes (C) to attract a mate (D) to avoid predators,Biology,1,1,,,,,,
85633,23,1,A,1,0,NYSEDREGENTS,4,2010,"A male puppy inherits traits from (A) both parents (B) its mother, only (C) its father, only",Biology,1,0,,,,,,
85634,24,1,B,1,0,NYSEDREGENTS,4,2010,Which two environmental changes usually cause certain animals to migrate? (A) change of season and fewer predators (B) change of season and less food (C) loss of habitat and fewer predators (D) loss of habitat and more food,Biology,1,0,,,,,,
85635,25,1,C,1,0,NYSEDREGENTS,4,2010,The function of a plant’s roots is to take in (A) light and water (B) light and air (C) nutrients and water (D) nutrients and soil,Biology,1,0,,,,,,
85636,26,1,C,1,0,NYSEDREGENTS,4,2010,The energy that is stored in food originally comes from (A) air (B) soil (C) sunlight (D) water,Biology,1,1,,,,,,
85637,27,1,A,1,0,NYSEDREGENTS,4,2010,"When two animals live in the same area and depend on the same organism for food, they are (A) competing (B) decomposing (C) germinating (D) hibernating",Biology,1,1,,,,,,
85639,29,1,D,1,0,NYSEDREGENTS,4,2010,A boy and his sister both play piano. Playing piano is an example of (A) a physical change (B) an inherited trait (C) a life function (D) a learned behavior,Biology,1,1,,,,,,
85640,30,1,B,1,0,NYSEDREGENTS,4,2010,"A student performed this experiment: Four different types of seeds were planted in identical pots filled with the same kind and amount of soil. The pots were placed in a warm, sunny place and were given the same amount of water each day for a month. Which question about these seeds could be answered at the end of the month? (A) Which seeds grew well in the dark? (B) Which seeds produced the tallest plants? (C) Which seeds survived in cold temperatures? (D) Which seeds needed the least amount of water?",Biology,1,1,,,,,,
1,1,1,B,1,0,NYSEDREGENTS,4,2012,Which object has the greatest flexibility? (A) wooden block (B) paper cup (C) metal nail (D) glass bottle,Biology,1,0,,,,,,
2,2,1,A,1,0,NYSEDREGENTS,4,2012,"A definite shape and a definite volume are properties of which state of matter? (A) solid, only (B) liquid, only (C) solid and liquid (D) liquid and gas",Biology,1,1,,,,,,
3,3,1,D,1,0,NYSEDREGENTS,4,2012,Which Earth movement results in day and night? (A) erosion (B) deposition (C) revolution (D) rotation,Biology,1,1,,,,,,
4,4,1,B,1,0,NYSEDREGENTS,4,2012,Which tool should a student use to see the patterns on a small object? (A) balance (B) hand lens (C) thermometer (D) graduated cylinder,Biology,1,1,,,,,,
5,5,1,D,1,0,NYSEDREGENTS,4,2012,Which terms are both used to describe the weather? (A) gravity and wind direction (B) precipitation and runoff (C) groundwater and erosion (D) air temperature and wind speed,Biology,1,1,,,,,,
6,6,1,C,1,0,NYSEDREGENTS,4,2012,Which metric units should be used to describe the mass of an object? (A) centimeters (B) liters (C) grams (D) degrees Celsius,Biology,1,0,,,,,,
7,7,1,C,1,0,NYSEDREGENTS,4,2012,"When a cup of water at room temperature is put in a freezer, the water's state of matter will change from (A) liquid to gas (B) gas to liquid (C) liquid to solid (D) solid to liquid",Biology,1,1,,,,,,
8,8,1,A,1,0,NYSEDREGENTS,4,2012,Which form of energy is produced when paper is burned? (A) heat (B) magnetic (C) electrical (D) chemical,Biology,1,0,,,,,,
9,9,1,A,1,0,NYSEDREGENTS,4,2012,Gravity and magnetism are both (A) common forces (B) natural cycles (C) states of matter (D) forms of energy,Biology,1,1,,,,,,
10,10,1,B,1,0,NYSEDREGENTS,4,2012,At approximately which time of day is the Sun at the highest point in the sky to an observer in New York State? (A) 6 a.m. (B) noon (C) 6 p.m. (D) midnight,Biology,1,0,,,,,,
11,11,1,D,1,0,NYSEDREGENTS,4,2012,Which property of an object describes how easily electricity travels through it? (A) color (B) temperature (C) reflectivity (D) conductivity,Biology,1,1,,,,,,
12,12,1,C,1,0,NYSEDREGENTS,4,2012,During which process are pieces of rock material being moved over Earth’s surface by water and wind? (A) conduction (B) deposition (C) erosion (D) revolution,Biology,1,1,,,,,,
13,13,1,B,1,0,NYSEDREGENTS,4,2012,Which factor will cause a decrease in the force of attraction between two magnets? (A) increasing the size of the two magnets (B) increasing the distance between the two magnets (C) changing the color of the two magnets (D) changing the texture of the two magnets,Biology,1,1,,,,,,
14,14,1,B,1,0,NYSEDREGENTS,4,2012,"In order to maintain good health, humans should (A) eat foods high in fat (B) exercise regularly (C) drink alcohol often (D) smoke tobacco occasionally",Biology,1,1,,,,,,
17,17,1,A,1,0,NYSEDREGENTS,4,2012,Which characteristic helps some animals defend themselves against predators? (A) strong odor (B) poor hearing (C) weak eyesight (D) shivering,Biology,1,0,,,,,,
18,18,1,D,1,0,NYSEDREGENTS,4,2012,The main function of a fish’s fins is to help the fish (A) reproduce (B) see (C) breathe (D) move,Biology,1,0,,,,,,
19,19,1,C,1,0,NYSEDREGENTS,4,2012,"When ocean waters become too warm, some whales travel to colder water. This movement is an example of (A) nest building (B) hunting (C) migrating (D) hibernating",Biology,1,1,,,,,,
20,20,1,D,1,0,NYSEDREGENTS,4,2012,Green plants get the energy they need to make food from (A) water (B) air (C) soil (D) sunlight,Biology,1,0,,,,,,
21,21,1,C,1,0,NYSEDREGENTS,4,2012,"Which three things do animals need from their environment in order to survive? (A) soil, water, and food (B) soil, light, and water (C) air, food, and water (D) air, water, and light",Biology,1,1,,,,,,
22,22,1,C,1,0,NYSEDREGENTS,4,2012,Which two processes are common to all living things? (A) flying and breathing (B) migrating and reproducing (C) using nutrients and growing (D) eliminating waste and hibernating,Biology,1,0,,,,,,
23,23,1,B,1,0,NYSEDREGENTS,4,2012,Trees start as seeds and grow into mature trees that produce more seeds. This pattern represents a (A) food chain (B) life cycle (C) food supply (D) life span,Biology,1,0,,,,,,
26,26,1,D,1,0,NYSEDREGENTS,4,2012,Which is an example of a nonliving thing? (A) bird (B) insect (C) dog (D) water,Biology,1,1,,,,,,
29,29,1,C,1,0,NYSEDREGENTS,4,2012,Three identical seeds are planted and grown in identical pots of soil. All three pots receive equal amounts of sunlight. The plants are watered once each day. Plant A is given 10 milliliters (mL) of water. Plant B is given 20 mL of water. Plant C is given 30 mL of water. The height of each plant is measured and recorded after ten days. Which question could be answered by this experiment? (A) How much space does a plant need to grow? (B) How much soil does a plant need to grow? (C) How much water will make a plant grow tallest? (D) How much sunlight will make a plant grow tallest?,Biology,1,0,,,,,,
